isan,title,genre_id,release_year,poster,trailer,summary
0000-0000-E543-0000-4-0000-0000-P,Arizona Junior,7,1987,0000-0000-E543-0000-4-0000-0000-P.jpg,https://www.youtube.com/watch?v=OjWu8i6eMZo,"Hi, impénitent cambrioleur de supermarchés, passe beaucoup de temps dans la prison de Tempe en Arizona. Il y rencontre un jour Ed, charmante femme policier, dont il tombe éperdument amoureux. Terminé les braquages, il se marie et part pour l’usine qui ressemble somme toute à la prison. Hi et Ed voudraient un enfant mais Ed est stérile. Or un jour des quintuplés font la une de la presse locale. Hi et Ed décident d’en voler un. Sur cinq, cela ne se verra pas trop."
0000-0000-5FEE-0000-Q-0000-0000-X,Miller’s Crossing,13,1990,0000-0000-5FEE-0000-Q-0000-0000-X.jpg,https://www.youtube.com/watch?v=hkJIcFMN_pc,"A l'époque de la Prohibition, le gangster Tom Reagan, bras droit d'un caïd irlandais, trahit et manipule son entourage, l'utilisant à ses propres fins, même par la violence, afin de se faire une place."
0000-0000-0796-0000-F-0000-0000-T ,Barton Fink,1,1991,0000-0000-0796-0000-F-0000-0000-T.jpg,https://www.youtube.com/watch?v=WK0WjWlVO9w,"New York 1941. Barton Fink, jeune dramaturge, rencontre le succès grâce à un roman populaire. Hollywood s'intéresse à lui et Wallace Beery le charge d'écrire des scénarios sur le monde des lutteurs. Fink va découvrir les mystères d'Hollywood, l'angoisse de la page blanche et un étrange voisin qui lui révélera quelques secrets sur l'art de l'existence."
0000-0000-01D3-0000-Q-0000-0000-X ,Le Grand Saut,7,1994,0000-0000-01D3-0000-Q-0000-0000-X.jpg,https://www.youtube.com/watch?v=dBa8p0NFwM8,Les membres du conseil d'administration d'un empire industriel décident de nommer un idiot à leur tête afin que les actions chutent et qu'ils puissent les racheter à bas prix. Ce leur sera moins facile qu'il y paraissait.
0000-0000-01CF-0000-2-0000-0000-V,Fargo,8,1996,0000-0000-01CF-0000-2-0000-0000-V.jpg,https://www.youtube.com/watch?v=ju75Sd4yAZw,"Quelque part dans le Minnesota, en plein hiver. Jerry Lundegaard, un minable vendeur de voitures, contacte un petit escroc, Carl Showalter, et son inquiétant compère, Grimsrud. Il leur demande d’enlever sa femme, Jean, dont le père, Wade, un richissime homme d’affaires, ne manquera pas de régler la rançon exigée. Les deux truands s’empêtrent quelque peu dans les péripéties mais finissent par réussir leur affaire. Grimsrud commence alors à donner la mesure de ses talents. Il tue de sang-froid un policier lors d’un banal contrôle de routine, puis les deux témoins du meurtre. Marge Gunderson, une femme policier, enceinte, est chargée de l’enquête."
0000-0000-294D-0000-4-0000-0000-P,The Big Lebowski,7,1998,0000-0000-294D-0000-4-0000-0000-P.jpg,https://www.youtube.com/watch?v=l7DLqUvZXOE,"Jeff Lebowski, prénommé le Duc, est un paresseux qui passe son temps à boire des coups avec son copain Walter et à jouer au bowling, jeu dont il est fanatique. Un jour deux malfrats le passent à tabac. Il semblerait qu’un certain Jackie Treehorn veuille récupérer une somme d’argent que lui doit la femme de Jeff. Seulement Lebowski n’est pas marié. C’est une méprise, le Lebowski recherché est un millionnaire de Pasadena. Le Duc part alors en quête d’un dédommagement auprès de son richissime homonyme."
0000-0001-099D-0000-H-0000-0000-N,O’Brother,18,2000,0000-0001-099D-0000-H-0000-0000-N.jpg,https://www.youtube.com/watch?v=eW9Xo2HtlJI,"Dans le Mississippi profond, pendant la Grande Depression. Trois prisonniers enchainés s’évadent du bagne : Ulysses Everett McGill, le gentil et simple Delmar et l’éternel râleur Pete. Ils tentent l’aventure de leur vie pour retrouver leur liberté et leur maison. N’ayant rien à perdre et unis par leurs chaînes, ils entreprennent un voyage semé d’embûches et riche en personnages hauts en couleur. Mais ils devront redoubler d’inventivité pour échapper au mystérieux et rusé shérif Cooley, lancé à leur poursuite."
0000-0000-EEC5-0000-K-0000-0000-E ,Intolérable cruauté,7,2003,0000-0000-EEC5-0000-K-0000-0000-E.jpg,https://www.youtube.com/watch?v=dE8jX6rP4L0,"Miles Massey est l'avocat que l'on s'arrache quand on veut divorcer. Sa renommée et son train de vie témoignent de sa remarquable réussite. Mais Miles s'ennuie. Il ne va pas tarder à trouver un cas à sa mesure. Marylin Rexroth, future ex-femme d'un richissime investisseur immobilier pris en flagrant délit d'adultère, comptait profiter de la vie et d'une belle pension. Mais Miles réussit à dispenser son client du moindre dédommagement. Décidée à se venger, la jeune femme épouse aussitôt un magnat du pétrole. Entre Miles et Marylin commence alors un match où tous les coups sont permis"
0000-0001-07A9-0000-E-0000-0000-W,Ladykillers,7,2004,0000-0001-07A9-0000-E-0000-0000-W.jpg,https://www.youtube.com/watch?v=BVL6AjybCZ0,"Le docteur Goldthwait Higginson Dorr III réunit un gang ""d'experts"" pour accomplir le casse du siècle. Ses associés ? Un spécialiste en explosifs, un perceur de tunnel, un gros bras et un complice infiltré qui risque d'être découvert... Le QG de l'opération ? La cave d'une vieille dame, Mrs. Munson, qui fréquente assidûment l'église et ne se doute de rien."
0000-0001-CE8F-0000-U-0000-0000-L,No Country for Old Men,23,2007,0000-0001-CE8F-0000-U-0000-0000-L.jpg,https://www.youtube.com/watch?v=38A__WT3-o0,"A la frontière qui sépare le Texas du Mexique, les trafiquants de drogue ont depuis longtemps remplacé les voleurs de bétail. Lorsque Llewelyn Moss tombe sur une camionnette abandonnée, cernée de cadavres ensanglantés, il ne sait rien de ce qui a conduit à ce drame. Et quand il prend les deux millions de dollars qu’il découvre à l’intérieur du véhicule, il n’a pas la moindre idée de ce que cela va provoquer."
0000-0001-FA58-0000-H-0000-0000-N,Burn After Reading,7,2008,0000-0001-FA58-0000-H-0000-0000-N.jpg,https://www.youtube.com/watch?v=SVCHSiRWjJM,"Osborne Cox est un analyste à la CIA en difficulté. Sa femme, Katie, s'adonne peu à la compassion. Harry Pfarrer est un marshal fédéral assez porté sur le sexe. Linda Litzke et Chad Feldheimer sont employés du club de remise en forme Hardbodies Fitness. Et ils vont découvrir un CD appartenant à Osborne Cox, ce qui ne rassure pas le directeur de la salle de sport, Ted Treffon, qui est amoureux de Linda. Tout ce petit monde va se trouver mêlé pour des aventures trépidantes au coeur de quelques maux de la société américaine."
0000-0002-33D3-0000-D-0000-0000-Z,A Serious Man,7,2009,0000-0002-33D3-0000-D-0000-0000-Z.jpg,https://www.youtube.com/watch?v=mDKHWRbK2_Q,"En 1967, Larry Gopnik, professeur de physique dans une petite université du Midwest, vient d'apprendre que sa femme Judith allait le quitter. Elle est tombée amoureuse d'une de ses connaissances, le pontifiant Sy Ableman. Arthur, le frère de Larry, est incapable de travailler et dort sur le canapé. Danny, son fils, a des problèmes de discipline à l'école hébraïque, et sa fille Sarah vole dans son portefeuille car elle a l'intention de se faire refaire le nez. Pendant ce temps, Larry reçoit à la fac des lettres anonymes visant à empêcher sa titularisation, et un étudiant veut le soudoyer pour obtenir son diplôme. Luttant désespérément pour trouver un équilibre, Larry cherche conseil auprès de trois rabbins. Qui l'aidera à faire face à ses malheurs et à devenir un mensch, un homme bien ?"
0000-0002-BE06-0000-E-0000-0000-W ,True Grit,23,2010,0000-0002-BE06-0000-E-0000-0000-W.jpg,https://www.youtube.com/watch?v=CUiCu-zuAgM,"1870, juste après la guerre de Sécession, sur l'ultime frontière de l'Ouest américain. Seul au monde, Mattie Ross, 14 ans, réclame justice pour la mort de son père, abattu de sang-froid pour deux pièces d'or par le lâche Tom Chaney. L'assassin s'est réfugié en territoire indien. Pour le retrouver et le faire pendre, Mattie engage Rooster Cogburn, un U.S. Marshal alcoolique. Mais Chaney est déjà recherché par LaBoeuf, un Texas Ranger qui veut le capturer contre une belle récompense. Ayant la même cible, les voilà rivaux dans la traque. Tenace et obstiné, chacun des trois protagonistes possède sa propre motivation et n'obéit qu'à son code d'honneur. Ce trio improbable chevauche désormais vers ce qui fait l'étoffe des légendes: la brutalité et la ruse, le courage et les désillusions, la persévérance et l'amour."
0000-0003-AD9C-0000-X-0000-0000-C ,Inside Llewyn Davis,18,2013,0000-0003-AD9C-0000-X-0000-0000-C.jpg,https://www.youtube.com/watch?v=VuQ8pz-5WLY,"Inside Llewyn Davis raconte une semaine de la vie d'un jeune chanteur de folk dans l'univers musical de Greenwich Village en 1961. Llewyn Davis est à la croisée des chemins. Alors qu'un hiver rigoureux sévit sur New York, le jeune homme, sa guitare à la main, lutte pour gagner sa vie comme musicien et affronte des obstacles qui semblent insurmontables, à commencer par ceux qu'il se crée lui-même. Il ne survit que grâce à l'aide que lui apportent des amis ou des inconnus, en acceptant n'importe quel petit boulot. Des cafés du Village à un club désert de Chicago, ses mésaventures le conduisent jusqu'à une audition pour le géant de la musique Bud Grossman, avant de retourner là d'où il vient."
0000-0004-753B-0000-5-0000-0000-M,Ave César,7,2016,0000-0004-753B-0000-5-0000-0000-M.jpg,https://www.youtube.com/watch?v=y73RYOUbBgE,"Eddie Mannix est fixer chez Capitole, un des plus célèbres Studios de cinéma américain de l’époque. Il y est chargé de régler tous les problèmes inhérents à chacun de leurs films. Un travail qui ne connaît ni les horaires, ni la routine. En une seule journée il va devoir gérer aussi bien les susceptibilités des différentes communautés religieuses, pour pouvoir valider leur adaptation de la Bible en Technicolor, que celles du très précieux réalisateur vedette Laurence Laurentz qui n’apprécie que modérément qu’on lui ait attribué le jeune espoir du western comme tête d’affiche de son prochain drame psychologique. La journée promet d’être mouvementée."
0000-0005-F102-0000-3-0000-0000-S ,La Ballade de Buster Scruggs,23,2018,0000-0005-F102-0000-3-0000-0000-S.jpg,https://www.youtube.com/watch?v=_2PyxzSH1HM,La ballade de Buster Scruggs est un western d'anthologie en six volets mettant en scène les légendes du Far West vues par les incomparables réalisateurs et scénaristes Joel et Ethan Coen. Chaque chapitre est consacré à une histoire différente de l'Ouest américain.
0000-0000-6ECA-0000-6-0000-0000-J,Chantons sous la pluie,17,1952,0000-0000-6ECA-0000-6-0000-0000-J.jpg,https://www.youtube.com/watch?v=A8dGhZ91Qhk,"Les films muets laissent place aux films parlants - et le danseur devenu chanteur (Gene Kelly) est lui aussi pris dans cette transition compliquée, tout comme son ami (Donald O’Connor), sa petite amie (Debbie Reynolds) et sa désagréable co-star (Jean Hagen)."
